prefix,city,province,operator,is_mobile,is_valid
0383,Coneta,Catamarca,,false,true
03837,Copacabana,Catamarca,,false,true
03835,Corral Quemado,Catamarca,,false,true
03835,El Alamito,Catamarca,,false,true
0383,El Alto,Catamarca,,false,true
03832,El Aybal,Catamarca,,false,true
03832,El Banado,Catamarca,,false,true
0383,El Banado Este,Catamarca,,false,true
03835,El Bolson,Catamarca,,false,true
03838,El Cajon,Catamarca,,false,true
03832,El Divisadero,Catamarca,,false,true
03837,El Durazno Oeste,Catamarca,,false,true
03835,El Lindero Dto Andalgala,Catamarca,,false,true
0383,El Lindero Dto Capital,Catamarca,,false,true
03835,El Pajonal,Catamarca,,false,true
0383,El Pantanillo,Catamarca,,false,true
03835,El Penon,Catamarca,,false,true
0383,El Portezuelo,Catamarca,,false,true
03835,El Potrero,Catamarca,,false,true
03837,El Pueblito,Catamarca,,false,true
0383,El Rodeo,Catamarca,,false,true
03832,Esquiu,Catamarca,,false,true
03837,Fiambala,Catamarca,,false,true
0383,Guayamba,Catamarca,,false,true
03835,Hualfin,Catamarca,,false,true
0383,Huaycama,Catamarca,,false,true
0383,Huillapima,Catamarca,,false,true
03832,Icano,Catamarca,,false,true
0383,Infanzon,Catamarca,,false,true
03835,Jacipunco,Catamarca,,false,true
03835,Joyango,Catamarca,,false,true
03835,La Aguada,Catamarca,,false,true
0383,La Bajada,Catamarca,,false,true
0383,La Carrera,Catamarca,,false,true
03832,La Dorada,Catamarca,,false,true
03837,La Gruta,Catamarca,,false,true
03832,La Guardia,Catamarca,,false,true
0383,La Higuera,Catamarca,,false,true
03838,La Hoyada,Catamarca,,false,true
03832,La Majada,Catamarca,,false,true
0383,La Merced,Catamarca,,false,true
0383,La Puerta,Catamarca,,false,true
0383,Las Canas,Catamarca,,false,true
03835,Las Chacritas,Catamarca,,false,true
03837,Las Cortaderas,Catamarca,,false,true
03832,Las Esquinas,Catamarca,,false,true
0383,Las Juntas,Catamarca,,false,true
0383,Las Lajas,Catamarca,,false,true
0383,Las Pirquitas,Catamarca,,false,true
0383,Las Tejas De Abajo,Catamarca,,false,true
03835,Londres,Catamarca,,false,true
0383,Los Altos,Catamarca,,false,true
0383,Los Angeles,Catamarca,,false,true
0383,Los Castillos,Catamarca,,false,true
03835,Los Nacimientos,Catamarca,,false,true
0383,Los Talas,Catamarca,,false,true
03835,Los Varela,Catamarca,,false,true
0383,Manantiales,Catamarca,,false,true
03837,Medanitos,Catamarca,,false,true
03835,Mina Farallon Negro,Catamarca,,false,true
03835,Minera Del Altiplano,Catamarca,,false,true
0383,Miraflores,Catamarca,,false,true
0383,Monte Potrero,Catamarca,,false,true
03835,Mutquin,Catamarca,,false,true
0383,Nueva Coneta,Catamarca,,false,true
03837,Palo Blanco,Catamarca,,false,true
0383,Palo Labrado,Catamarca,,false,true
03835,Poman,Catamarca,,false,true
0383,Pomancillo,Catamarca,,false,true
03835,Puerta Del Corral Quemado,Catamarca,,false,true
03837,Punta Del Agua,Catamarca,,false,true
03832,Quiros,Catamarca,,false,true
03832,Recreo,Catamarca,,false,true
03835,Rincon,Catamarca,,false,true
03835,Rosario De Colana,Catamarca,,false,true
03832,San Antonio,Catamarca,,false,true
03832,San Antonio De La Paz,Catamarca,,false,true
0383,San Antonio Paclin,Catamarca,,false,true
03832,San Antonio Sur,Catamarca,,false,true
03835,San Fernando,Catamarca,,false,true
0383,San Jose,Catamarca,,false,true
03838,San Jose Norte,Catamarca,,false,true
03832,San Martin,Catamarca,,false,true
03835,San Miguel,Catamarca,,false,true
0383,San Pablo,Catamarca,,false,true
0383,San Pedro Dto Capayan,Catamarca,,false,true
0383,San Pedro Dto Santa Rosa,Catamarca,,false,true
03838,Santa Maria,Catamarca,,false,true
03835,Saujil Dto Poman,Catamarca,,false,true
03837,Saujil Dto Tinogasta,Catamarca,,false,true
03835,Sijan,Catamarca,,false,true
03835,Singuil,Catamarca,,false,true
03835,Taton,Catamarca,,false,true
03837,Tinogasta,Catamarca,,false,true
03835,Villa Vill,Catamarca,,false,true
0383,Villisman,Catamarca,,false,true
0364,Avia Terai,Chaco,,false,true
0362,Barranqueras,Chaco,,false,true
0362,Barrio Los Pescadores,Chaco,,false,true
0362,Basail,Chaco,,false,true
0364,Campo Largo,Chaco,,false,true
03725,Capitan Solari,Chaco,,false,true
03721,Charadai,Chaco,,false,true
03731,Charata,Chaco,,false,true
0364,Colonia Aborigen Chaco,Chaco,,false,true
0362,Colonia Baranda,Chaco,,false,true
0362,Colonia Benitez,Chaco,,false,true
03735,Colonia D Matheu,Chaco,,false,true
03734,Colonia Elisa,Chaco,,false,true
03725,Colonia Las Garcitas,Chaco,,false,true
0362,Colonia Popular,Chaco,,false,true
03725,Colonias Unidas,Chaco,,false,true
03711,Comandante Frias,Chaco,,false,true
0364,Concepcion Del Bermejo,Chaco,,false,true
03735,Coronel Du Graty,Chaco,,false,true
03731,Corzuela,Chaco,,false,true
03734,El Curundu,Chaco,,false,true
0364,El Palmar,Chaco,,false,true
0362,El Paraisal,Chaco,,false,true
03735,Enrique Urien,Chaco,,false,true
0362,Fontana,Chaco,,false,true
03731,Gancedo,Chaco,,false,true
03725,General Jose De San Martin,Chaco,,false,true
03731,General Pinedo,Chaco,,false,true
0362,General Vedia,Chaco,,false,true
03735,Hermoso Campo,Chaco,,false,true
03734,Ing Barbet,Chaco,,false,true
0362,Isla Antequera,Chaco,,false,true
0362,Isla Del Cerrito,Chaco,,false,true
0362,Isla Santa Rosa,Chaco,,false,true
0364,Juan Jose Castelli,Chaco,,false,true
03735,La Clotilde,Chaco,,false,true
0362,La Escondida,Chaco,,false,true
0362,La Leonesa,Chaco,,false,true
03721,La Sabana,Chaco,,false,true
0364,La Tigra,Chaco,,false,true
0362,La Verde,Chaco,,false,true
0362,Laguna Blanca,Chaco,,false,true
03725,Laguna Limpia,Chaco,,false,true
0362,Lapachito,Chaco,,false,true
03731,Las Brenas,Chaco,,false,true
03725,Las Garcitas,Chaco,,false,true
0362,Las Palmas,Chaco,,false,true
0364,Los Frentones,Chaco,,false,true
03734,Machagai,Chaco,,false,true
0362,Makalle,Chaco,,false,true
0362,Margarita Belen,Chaco,,false,true
0364,Napenay,Chaco,,false,true
03715,Nueva Pompeya,Chaco,,false,true
